Date,Indonesia,India,Korea,Thailand,South_Africa,Brazil,Philippines,USD_EM_Index
12/5/2008,3.839,-30.1,0,-33.92,-70.6,-336.0051377,91.1413,-0.224634981
13/5/2008,44.732,44.2,54.62,-20.55,-58.18,18.06622836,3.3977,0.078405618
14/5/2008,1.976,61,0.76,10.05,0,266.3148404,-2.1297,0.181358265
15/5/2008,19.014,172.2,299.35,21.49,-116.39,105.0466952,-0.6243,-0.157026645
16/5/2008,44.931,13.4,435.51,100.67,16.09,300.6275107,-6.4325,-0.331616281
19/5/2008,23.641,0,-43.28,0,82.38,622.8202479,4.0311,-0.16143066
20/5/2008,0,-74.9,-195.06,106.64,181.45,-524.3975613,-7.7644,0.138008018
21/5/2008,-17.08,-143.1,117.92,35.47,-31.58,-414.3007035,-7.1912,-0.314261472
22/5/2008,5.327,-127.6,-174.93,85.58,-43.68,0,-2.3839,0.054264927
23/5/2008,36.995,-116.8,26.81,30.21,-97.27,-467.6987245,2.1328,0.039687396
26/5/2008,-52.417,-262,-133.71,-24.53,-77.28,-110.5925569,-5.702,-0.005731651
27/5/2008,-2.981,-82.6,3.53,-35.24,-13.81,-310.2638364,2.8533,0.110827139
28/5/2008,6.025,-171.3,364.01,-98.01,-137.28,-63.87645856,-2.146,-0.233474979
29/5/2008,34.224,-253.4,68.91,-80.31,88.92,-193.5423236,-1.2028,-0.202056984
30/5/2008,39.477,59.8,227.86,-168.96,-101.5,143.2676489,2.2333,-0.138549239
2/6/2008,-6.38,-82.7,113.56,-76.41,-68.25,-133.1318951,-4.8152,0.000553694
3/6/2008,-46.072,-223.9,-179.06,-113.23,11.21,-367.1167726,-2.3544,-0.098827484
4/6/2008,-9.056,-193.6,-218.28,-94.51,-27.71,-570.2668221,-1.3174,0.331218656
5/6/2008,-50.795,-331.1,110.82,-101.79,-65.28,-210.2355763,-8.3434,-0.044091785
6/6/2008,113.388,71.8,0,9.35,93.13,-49.35925789,-12.1559,0.072812815
9/6/2008,-30.228,-312.8,-169.84,-42.01,-98.53,-308.2510301,0,-0.013475764
10/6/2008,24.647,-196.8,-299.02,-44.27,-69.17,-516.4101782,13.1378,0.202166516
11/6/2008,-61.92,-35.3,-328.93,-33.63,-68.39,-609.0635655,-13.3841,0.048053715
12/6/2008,38.693,-266.7,-976.41,-88.33,-65.14,-210.5275677,-7.1419,-0.029093987
13/6/2008,18.612,-12.1,-332.84,-23.53,32.06,69.24040577,-13.4934,0.041764858
16/6/2008,10.245,-124.2,-54.92,-13.82,0,115.8299023,-2.8247,-0.278909742
17/6/2008,-24.891,86.8,-212.06,-73.25,60.38,-404.7577994,-3.9618,-0.320026123
18/6/2008,9.419,-104.8,-231.69,-23.34,57.58,-735.5801105,1.9981,-0.031149868
19/6/2008,80.218,-82.1,-272.6,-63.99,78.69,-99.20171995,1.2291,0.067165199
20/6/2008,39.626,-221.7,-203.36,-76.07,40.96,-240.6553186,6.9672,-0.095995786
23/6/2008,-115.741,-144.5,-412.1,-57.36,80.3,-141.8966052,-3.0133,0.216027071
24/6/2008,-4.769,63.8,-397.37,-45.99,137.13,-147.0259319,-4.7964,-0.096545196
25/6/2008,-13.727,-24.2,-305.39,-46.4,98.6,-3.149965619,-4.3165,0.025473954
26/6/2008,-20.646,-109.8,-51.29,4.11,-316.46,-102.8557095,5.781,-0.033560523
27/6/2008,6.032,-174.4,-413.75,-53.73,251.19,-89.48049524,106.638,0.199867707
30/6/2008,-5.193,-52.9,-145.46,-46.03,187.27,188.7766258,5.3455,0.025425153
1/7/2008,11.923,40.3,-137.48,0,28.63,1378.36769,10.304,0.266354073
2/7/2008,6.365,-80.9,-399.03,-65.39,37.8,-233.7369441,-3.7677,-0.30836433
3/7/2008,-109.076,-162.2,-432.75,-124.54,-107.5,-287.7326702,-41.7884,0.002653802
