Date,Indonesia,India,Korea,Thailand,South_Africa,Brazil,Philippines
14/5/2008,1.976,61,0.76,10.05,0,266.3148404,-2.1297
15/5/2008,19.014,172.2,299.35,21.49,-116.39,105.0466952,-0.6243
16/5/2008,44.931,13.4,435.51,100.67,16.09,300.6275107,-6.4325
19/5/2008,23.641,0,-43.28,0,82.38,622.8202479,4.0311
20/5/2008,0,-74.9,-195.06,106.64,181.45,-524.3975613,-7.7644
21/5/2008,-17.08,-143.1,117.92,35.47,-31.58,-414.3007035,-7.1912
22/5/2008,5.327,-127.6,-174.93,85.58,-43.68,0,-2.3839
23/5/2008,36.995,-116.8,26.81,30.21,-97.27,-467.6987245,2.1328
26/5/2008,-52.417,-262,-133.71,-24.53,-77.28,-110.5925569,-5.702
27/5/2008,-2.981,-82.6,3.53,-35.24,-13.81,-310.2638364,2.8533
28/5/2008,6.025,-171.3,364.01,-98.01,-137.28,-63.87645856,-2.146
29/5/2008,34.224,-253.4,68.91,-80.31,88.92,-193.5423236,-1.2028
30/5/2008,39.477,59.8,227.86,-168.96,-101.5,143.2676489,2.2333
2/6/2008,-6.38,-82.7,113.56,-76.41,-68.25,-133.1318951,-4.8152
3/6/2008,-46.072,-223.9,-179.06,-113.23,11.21,-367.1167726,-2.3544
4/6/2008,-9.056,-193.6,-218.28,-94.51,-27.71,-570.2668221,-1.3174
5/6/2008,-50.795,-331.1,110.82,-101.79,-65.28,-210.2355763,-8.3434
6/6/2008,113.388,71.8,0,9.35,93.13,-49.35925789,-12.1559
9/6/2008,-30.228,-312.8,-169.84,-42.01,-98.53,-308.2510301,0
10/6/2008,24.647,-196.8,-299.02,-44.27,-69.17,-516.4101782,13.1378
11/6/2008,-61.92,-35.3,-328.93,-33.63,-68.39,-609.0635655,-13.3841
12/6/2008,38.693,-266.7,-976.41,-88.33,-65.14,-210.5275677,-7.1419
13/6/2008,18.612,-12.1,-332.84,-23.53,32.06,69.24040577,-13.4934
16/6/2008,10.245,-124.2,-54.92,-13.82,0,115.8299023,-2.8247
17/6/2008,-24.891,86.8,-212.06,-73.25,60.38,-404.7577994,-3.9618
18/6/2008,9.419,-104.8,-231.69,-23.34,57.58,-735.5801105,1.9981
19/6/2008,80.218,-82.1,-272.6,-63.99,78.69,-99.20171995,1.2291
20/6/2008,39.626,-221.7,-203.36,-76.07,40.96,-240.6553186,6.9672
23/6/2008,-115.741,-144.5,-412.1,-57.36,80.3,-141.8966052,-3.0133
24/6/2008,-4.769,63.8,-397.37,-45.99,137.13,-147.0259319,-4.7964
25/6/2008,-13.727,-24.2,-305.39,-46.4,98.6,-3.149965619,-4.3165
26/6/2008,-20.646,-109.8,-51.29,4.11,-316.46,-102.8557095,5.781
27/6/2008,6.032,-174.4,-413.75,-53.73,251.19,-89.48049524,106.638
30/6/2008,-5.193,-52.9,-145.46,-46.03,187.27,188.7766258,5.3455
1/7/2008,11.923,40.3,-137.48,0,28.63,1378.36769,10.304
2/7/2008,6.365,-80.9,-399.03,-65.39,37.8,-233.7369441,-3.7677
3/7/2008,-109.076,-162.2,-432.75,-124.54,-107.5,-287.7326702,-41.7884
4/7/2008,2.156,123.3,-271.33,-38.66,-5.65,-53.40395129,-5.2169
7/7/2008,-19.507,-74.2,-101.98,-40.97,-10,-135.2222984,-3.4339
8/7/2008,-13.471,38.9,-266.2,-94.86,-48.04,-273.8731823,-15.0464
9/7/2008,-47.095,-66.7,-166.47,-111.18,-104.5,0,-1.7045
10/7/2008,-32.515,-80.2,-266.74,-85,31.93,-497.4317041,6.1355
11/7/2008,12.558,-72.6,-338.22,-33.2,12.18,-304.5751185,3.2922
14/7/2008,12.939,-49.6,-240.44,-59.65,-26.2,-356.3665454,-4.4221
15/7/2008,-0.779,-157.6,-275.36,-73.77,16.7,-531.5855652,-3.41
16/7/2008,62.844,-48.7,-425.28,-110.65,-15.88,-371.6344949,-5.9958
17/7/2008,-28.027,124.8,-136.11,0,-67.09,-213.6790496,-1.4178
18/7/2008,-15.273,137.7,-179.1,-82.55,-42.65,78.51889042,-4.1895
21/7/2008,1.269,-26.2,-216.22,-13.12,-196.18,-173.4804604,-2.8285
22/7/2008,29.172,-91.4,-197.91,-15.29,9.64,-522.6779275,-5.0853
23/7/2008,-35.879,386.4,-283.36,-23.07,-17.5,-209.2261529,-8.2168
24/7/2008,29.681,132.6,172.45,-12.61,-69.7,-336.2572099,114.707
25/7/2008,7.827,-129.4,-187.59,-20.43,-34.5,-75.13372721,-0.2766
28/7/2008,11.307,-144.1,-276.97,-9.86,-80.99,-124.9580952,-6.4227
29/7/2008,4.539,-78.1,-157.53,-12.15,-55.33,-9.507821442,-2.4584
30/7/2008,0,-92.3,-274.15,-34.72,-42.22,207.9682804,-5.991
31/7/2008,12.328,140.5,79.74,-8.63,-21.53,-148.986081,-8.7138
1/8/2008,-47.228,-80.8,-111.71,-34.9,0,-237.2050805,-3.5761
4/8/2008,-33.691,-94.5,-95.02,-23.54,-45.83,-326.5889492,-2.8947
5/8/2008,-83.671,15.2,-578.23,-67.06,-175.43,-34.39216684,-14.1158
6/8/2008,-17.334,387.8,-73.83,9.07,245.94,-168.6601597,-5.8381
7/8/2008,15.733,-4.5,51.28,-24.88,-10.35,42.1219774,-6.1402
8/8/2008,5.631,18.7,-59.66,13.07,35.13,-114.2170841,-4.0484
11/8/2008,-16.134,97.6,-117.48,-12.82,-31.24,-91.70651635,-7.8846
12/8/2008,-18.987,-90.6,153.08,-12.78,-68.04,-133.745126,-11.7483
13/8/2008,0.015,-151.5,-24.73,-38.92,16.83,-41.64805331,-5.796
14/8/2008,43.042,-92.5,43.76,1.58,-72.09,-28.24444444,-9.6746
15/8/2008,52.419,0,0,-3.58,-41.44,-116.0189197,-4.4582
18/8/2008,0,-262.7,-14.16,1.18,13.5,-79.36616702,0
19/8/2008,-31.157,-281.6,-373.22,-23.91,39.89,4.325234102,-8.7564
20/8/2008,39.239,-65.3,-397.46,-37.95,-159.03,63.69314325,-4.4233
21/8/2008,28.443,-63.8,-142.51,-29.07,-13.19,-32.18538943,-8.2871
22/8/2008,47.424,-26.2,-269.17,-6.96,-161.68,-23.58786159,1.1416
25/8/2008,-7.768,21.6,-83.75,5.55,38.59,-93.40544527,0
26/8/2008,-2.827,-114.8,-302.76,-10.99,47.42,-27.88467412,-6.9155
27/8/2008,2.5,64,-314.4,-26.12,-44.97,30.72367203,-4.6781
28/8/2008,22.602,32.9,-62.4,0.04,-191.88,46.63980809,-8.6212
29/8/2008,51.253,-58.7,-234.3,-25.72,32.73,-51.40514076,4.3939
1/9/2008,1.595,-38.8,-15.51,-14.56,33.65,-51.52891808,-3.867
2/9/2008,-39.856,302.2,-203.8,-98.84,37.45,-4.828895048,-5.0683
3/9/2008,-58.193,0,8.34,-93.5,-36.66,82.51734035,-5.0144
4/9/2008,-16.443,-89.8,-252.06,-78.02,23.58,18.23768082,-3.0632
5/9/2008,-20.557,-391.4,-224.63,-63.46,-54.61,-211.5473094,-14.1817
8/9/2008,29.47,171.3,-5.85,-36.01,5.14,-111.0313694,-11.1008
9/9/2008,-27.279,-41.5,-210.92,-26.86,15.27,-164.1562144,-0.2014
10/9/2008,307.506,-192.8,-552.12,-28.97,-73.53,-53.32586535,-9.6978
11/9/2008,5.118,-310.4,82.57,-50.55,-132.17,-24.65508739,-10.4449
12/9/2008,-66.099,-187.1,-369.23,-54.47,-122.19,237.5737101,-16.049
15/9/2008,8.906,-137,0,-8.51,-46.36,-99.83499807,-17.8906
16/9/2008,35.467,-266.1,-524.23,-63.22,-178.02,-301.7429099,-20.8549
17/9/2008,-1.498,-287.8,97.75,-62.97,-108.01,-140.1661664,-20.8128
18/9/2008,-12.431,-128.2,-453.01,-33.25,-147.12,173.3620465,-5.6577
19/9/2008,85.378,252.2,206.76,41.18,141.79,-621.7190388,-12.1213
22/9/2008,38.06,24.5,167.3,-1.46,-49.04,148.558799,4.1539
23/9/2008,-6.104,-189.8,-262.63,-14.87,3.28,-180.4380963,-8.0564
24/9/2008,-43.081,-38.1,4.22,-27.41,0,-23.48354211,-6.081
25/9/2008,5.619,-152.2,-239.05,-19.51,-285.08,-15.33081596,3.1662
26/9/2008,50.725,-130.1,-177.35,-8.86,70.88,-269.6598566,10.8331
29/9/2008,11.165,82.4,379.62,-38.38,-33.76,-273.0672462,1.1852
30/9/2008,0,18,-143.6,-19.28,14.87,1.027744396,2.3059
1/10/2008,0,-60.5,-128.13,-3.91,-36.5,-240.1473268,0
2/10/2008,0,0,-296.34,-21.88,-157.4,-346.8048015,1.8591
3/10/2008,0,-223.1,0,-20.43,-183.44,-132.3047332,-15.7509
6/10/2008,-12.307,-236.3,-217.78,-64.54,-136.92,-105.3673329,-2.8695
7/10/2008,25.583,-114.2,-103.45,-23.27,-171.08,4.551853375,-12.7893
8/10/2008,4.797,-173.9,-30.86,-56.04,-272.26,5.400501672,-11.2456
9/10/2008,0,0,-73.02,-66.95,-187.58,-103.0269552,-20.8183
10/10/2008,0,-476.8,-307.41,-7.53,-286.11,-128.6400595,-19.7543
13/10/2008,-28.694,-174.9,-444.91,-13.75,-201.51,27.70479636,-6.7861
14/10/2008,-25.794,-39.6,127.12,66.43,-151.18,-59.11811402,-10.5605
15/10/2008,-11.098,-173.6,-365.52,-10.03,-68.21,-360.5067991,-13.5633
16/10/2008,-14.619,-391.2,-477.27,-20,-139.06,-277.5221968,-12.5847
17/10/2008,-2.112,-178.2,-401.87,-15.71,-246.81,-51.78768557,-14.5205
20/10/2008,5.386,-172,-281.22,-5.29,-143.29,109.8379783,-3.2638
21/10/2008,9.214,23.3,-13.28,8.95,-51.17,60.88070383,-6.6975
22/10/2008,-21.615,-55.4,-255.91,-73.68,-142.52,-150.7430432,-12.5319
23/10/2008,-27.797,-69.8,-72.26,0,-155.04,-288.8385257,1.7447
24/10/2008,-30.022,-235.8,-188.94,-77.05,-123.51,-131.6600312,-12.715
27/10/2008,-16.43,-201.8,-215.51,-63.75,-50.88,-164.5195382,-8.5118
28/10/2008,144.279,0,-219.62,-61.7,-77.4,-52.95999263,-11.1941
29/10/2008,-8.46,-216,11.54,-14.57,20.19,25.25004691,-1.4554
30/10/2008,-9.753,0,13.52,39.78,-10.73,112.963068,-5.2491
31/10/2008,388.073,240.3,239.87,52.37,49.58,85.14965247,-2.6058
3/11/2008,-17.873,155.6,-25.33,26.97,-70.71,-81.0575777,-3.0795
4/11/2008,-1.756,-19.1,-376.12,10.65,83.36,278.6316732,-7.3929
5/11/2008,-3.354,72,18.91,42.4,-39.08,-93.29859474,-7.5494
6/11/2008,7.502,-86.9,-231.47,-0.05,-115.25,-196.2902404,-10.2736
7/11/2008,-11.173,12.6,-38.19,-2.93,-217.07,-106.3070943,-6.8961
10/11/2008,6.469,28.6,3.34,-20,168.53,31.89395715,-3.6167
11/11/2008,25.1,-56,-85.32,-16.4,-41.66,-53.5494865,-5.8782
12/11/2008,-5.999,-126.1,-143.44,-20.06,6.13,-374.2394379,2.3038
13/11/2008,-8.555,0,-259.25,-7.16,-104.12,39.46846847,-3.3508
14/11/2008,-13.315,-114.1,-102.02,-24.61,-44.96,-23.91823127,2.2679
17/11/2008,23.123,-129,-94.93,-14.96,32.81,-33.67326474,-1.8795
18/11/2008,2.792,-74.3,-145.88,-19.71,-25.74,-96.1460508,-2.6633
19/11/2008,-2.673,-41.8,-186.63,-34.01,45.97,-70.92163959,0.1704
20/11/2008,-2.862,-129.9,-77.28,-51.92,-56.32,0,-7.2321
21/11/2008,-13.418,-102.8,-0.6,-33.13,55.77,-170.9496148,-9.4443
24/11/2008,3.027,-62.2,-65.68,-23.17,-56.29,154.2615764,-1.9441
25/11/2008,-1.149,0.3,-38.47,-21.9,61.18,63.07522124,1.4968
26/11/2008,-12.818,-87.5,79.76,-41.52,-3.52,130.5414136,2.3577
27/11/2008,11.624,0,149.49,2.47,-62.38,-32.80536794,1.5917
28/11/2008,551.87,84.2,186.58,-23.63,11.65,121.8446435,122.449
1/12/2008,4.454,30.7,20.98,-18.31,31.18,-113.9264038,0
2/12/2008,-4.787,-63.3,-19.27,-46.14,-74.39,-1139.406473,-5.4822
3/12/2008,-5.752,-97.5,-106.26,-38.01,-113.64,19.71291668,-4.3601
4/12/2008,-1.996,90,-3.89,-49.68,-32.77,-2.432834023,-4.8669
5/12/2008,-0.965,10.3,-3.93,0,-51.28,-51.6984,-3.5476
8/12/2008,0,93.5,92.57,-74.01,-52.77,354.1912092,-5.3542
9/12/2008,30.599,0,139.59,-42.55,26.4,127.1657603,-3.1365
10/12/2008,11.845,201.2,241.27,0,36.32,333.86604,-6.0389
11/12/2008,41.195,68.7,-82.71,17.59,0,183.4771085,-7.3418
12/12/2008,9.72,-21.9,7.21,-23.09,-84.48,42.9816859,-9.468
15/12/2008,18.631,49.9,78.63,-0.17,9.41,235.8760449,-9.5419
16/12/2008,0.313,5.8,-43.69,-14.62,0,55.36187392,1.5367
17/12/2008,-5.507,-23,80.28,32.74,33.52,-167.1190395,-2.6842
18/12/2008,-7.382,-11.5,0.44,-5.26,244.94,52.28699932,-135.01
19/12/2008,-0.221,98.3,179.01,-9.43,-67.74,-11.34521065,2.5115
22/12/2008,3.592,-47.3,16.83,3.99,-7.96,-89.52055949,-144.253
23/12/2008,-17.651,-56,-58.2,-10.67,-7.77,-34.23588667,-0.9575
24/12/2008,-5.878,-24.2,-79.62,-11.05,-18.98,0,-0.6609
25/12/2008,0,0,0,2.89,0,0,0
26/12/2008,-4.178,-54.1,-36.67,-22.14,0,-13.76297175,0
29/12/2008,0,-2.1,36.79,-21.43,11.73,-46.03289913,0
30/12/2008,9.457,25.7,151.44,-10.28,-95.43,37.3487118,0
31/12/2008,0,-2.4,0,0,-0.15,0,0
2/1/2009,0,23.3,51.52,0,13.05,189.5196188,0
5/1/2009,5.776,65.3,254.15,27.1,80.59,135.6849315,6.4351
6/1/2009,1.083,91.4,289.9,38.01,-1.35,96.16997944,3.9823
7/1/2009,-146.409,-217.7,435.73,-1.41,34.18,36.71041949,-0.5882
8/1/2009,-7.505,0,-97.96,-0.71,29.31,18.27593809,-3.8873
9/1/2009,9.08,-36.4,-68.27,-5.02,34.5,-40.5611687,2.1811
12/1/2009,-6.331,-132,-87.04,-19.59,48.76,-178.9875898,3.5883
13/1/2009,-10.058,-68.4,17.81,-28.88,-34.42,-3.200311972,-20.267
14/1/2009,-43.961,15.4,10.81,-12.52,74.3,-226.8513519,1.8863
15/1/2009,8.593,-97.6,-147.51,-10.16,-364.62,-122.4879197,-3.2568
16/1/2009,-14.991,-115.5,-235.84,-7.43,-30.57,-7.13173292,-5.3964
21/1/2009,2.764,-155.2,-196.51,-10.74,-115.36,-61.44180119,-8.7837
22/1/2009,3.813,-51.4,-49.51,-15.14,10.26,-89.32989912,-4.7144
23/1/2009,82.39,-70,-110.9,-5.39,-93.69,11.45688338,-4.9814
26/1/2009,0,0,0,2.24,34.24,-40.22121409,0.0572
27/1/2009,1.435,-49.1,0,-36.14,-61.97,103.1655486,-1.2792
28/1/2009,1.373,5.2,99.17,-24.42,8.06,97.51153277,-5.3735
29/1/2009,-1.808,56.3,264.87,-5.27,38.91,-39.07061563,0.2721
30/1/2009,16.626,-3.4,15.64,1.51,-37.79,-23.86386606,-4.0852
2/2/2009,-1.338,-2.4,150.57,-26.92,59.75,-15.88214615,1.0916
3/2/2009,-0.432,-33,165.02,-6.17,83.14,-279.8444435,-2.533
4/2/2009,-0.203,-5,163.45,2.53,-38.11,160.3401151,3.4669
5/2/2009,4.204,10.5,195,-11.29,44.63,189.8282815,2.4776
6/2/2009,0.155,12.4,52.17,22.22,108.15,380.1937848,3.1149
9/2/2009,0.286,59.5,21.67,0,12.96,119.6092149,-4.0832
10/2/2009,-5.198,85.5,-177.37,6.61,-34,-96.56011366,-9.0927
11/2/2009,-8.928,-23.4,-111.49,-0.42,14.12,-117.1542902,-8.9192
12/2/2009,-3.76,-34,-158.25,-3.68,35.81,-75.95197555,-2.1049
13/2/2009,0.754,4.1,-87.61,5.06,67.37,-41.77632739,-2.2936
17/2/2009,-3.398,-98.9,-139.06,-28.23,4.53,-320.696156,0.8727
18/2/2009,-3.833,-87,-147.18,-11.1,12.59,26.8245554,-2.0904
19/2/2009,5.26,-64.2,-100.33,12.88,0,-9.075500108,-9.6589
20/2/2009,-1.913,-34.6,-247.74,-6.87,-11.41,-251.0195718,-0.4236
23/2/2009,-6.465,0,-14.4,-10.04,6.82,0,69.2047
24/2/2009,-9.061,-78.5,-195.02,-5.09,43.28,0,-6.0076
25/2/2009,-6.419,-91,-29.38,5.48,2.26,-30.82066359,-2.0206
26/2/2009,-14.393,-47.3,-60.77,-15.36,-2.8,0,-3.8397
27/2/2009,5.473,-53.3,0.22,-11.34,-6.03,-14.02228764,-4.0749
2/3/2009,-11.315,-92.4,-268.63,-8.42,56.65,-264.0635237,-1.6454
3/3/2009,-6.515,-125.1,-121.42,-30.09,-7.51,-58.09572974,-5.9768
4/3/2009,-2.75,-87.5,-114.67,-4.3,-15.97,142.5500774,0.3262
5/3/2009,5.631,-117,42.11,13.33,44.17,-114.2396507,-7.4303
6/3/2009,1.469,-0.3,-30.59,-21.57,-9.62,-195.4767716,-9.5624
9/3/2009,0,2.3,-41.98,-12.55,-6.97,-50.87858014,-15.4525
10/3/2009,1.637,0,109.73,2.03,-50.09,340.6660712,-8.025
11/3/2009,16.75,0,366.81,1.57,-88.49,37.76517421,-12.1156
12/3/2009,10.451,-19.2,-481.67,-9.77,-9.17,77.49071435,-7.8994
13/3/2009,9.071,37.1,-39.8,14.75,-5.82,26.4034249,1.7967
16/3/2009,3.979,-2.8,-46.3,6.48,-13.86,184.3883529,-4.9918
17/3/2009,-1.822,86.7,15.3,0.07,-22,82.03294056,-35.5881
18/3/2009,2.371,68.9,24.8,8.06,1324.2,47.76773967,-4.4727
19/3/2009,11.162,31.1,6.29,7.28,111.41,157.2017877,-4.0008
20/3/2009,10.887,9.9,64.37,2.21,50.99,2.274077029,0.1228
23/3/2009,26.322,62.5,154.3,35.35,13.37,371.8874717,-5.9801
24/3/2009,40.146,139,273.33,36.82,28.11,-36.76771706,-0.3467
25/3/2009,3.352,58.5,-1.05,13.06,20.3,81.41589764,-3.7936
26/3/2009,0,260.6,37.79,-3.79,104.61,209.9718385,1.3465
27/3/2009,31.741,-53.6,238.31,20.17,19.96,-66.24554769,4.468
30/3/2009,-4.553,-91,-88.72,1.38,41.51,-225.2994462,-6.1297
31/3/2009,8.515,-104.3,-122.16,-10.39,-92.87,-84.93217557,-2.8965
1/4/2009,22.372,46.1,67.81,-7.08,-14.88,119.650142,-13.3139
2/4/2009,0.845,138.4,273.66,26,12.49,496.8126706,-18.5415
3/4/2009,39.799,0,344.85,55.38,-38.66,204.2133406,-8.6629
6/4/2009,27.16,34.5,202.44,0,16.62,-106.4504675,0
7/4/2009,6.126,0,-71.47,37.61,44.17,-62.6716116,-9.5944
8/4/2009,-20.938,95.8,-241.22,-5.52,-49.66,10.71422081,-10.4677
9/4/2009,0,18.2,224.15,16.87,26.53,372.5112582,0
10/4/2009,0,0,308.38,26.49,0,0,0
13/4/2009,37.356,128.8,296.07,0,0,137.2145656,-7.7604
14/4/2009,23.758,0,69.99,0,-56.44,58.44092904,-4.6717
15/4/2009,17.063,154.8,-134.1,0,-52.95,-129.0922321,-7.058
16/4/2009,49.48,80,352.38,-75.54,23.53,242.8778629,-5.8834
17/4/2009,25.772,158.7,352.42,-7.8,20.64,55.20677036,-21.8138
20/4/2009,-7.728,66.6,175.15,-15.14,-43.69,167.0509263,0.18
21/4/2009,-43.011,-12.5,-54.78,-17.85,23.11,0,-2.1158
22/4/2009,-1.417,0.4,139.82,-4.25,0,-56.13089857,-6.1244
23/4/2009,-19.95,62.1,114.56,1.27,41.94,72.7919287,-1.4654
24/4/2009,-1.62,99.5,79.85,33.42,58.13,118.7796981,-6.2834
27/4/2009,-2.669,368.1,-69.97,19.97,0,-32.5156807,-2.1886
28/4/2009,8.076,-34.5,-33.58,17.5,-16.01,-130.680797,-0.3651
