Date,Indonesia.1,India,Thailand,South_Africa,Hungary,Mexico,Poland
10/9/2010,0,0,-227.74,129.654,7.899658181,157.1192002,528.315366
13/9/2010,0,22.31,67.09,36.971,-8.964974046,117.7275833,-22.28155817
14/9/2010,-5.568548836,64.68,75.71,236.194,53.62388479,124.6127702,131.6748377
15/9/2010,-74.5272525,23.62,-44.03,71.478,265.5367369,-285.3831133,8.290976302
16/9/2010,62.33997551,158.6,-15.85,-325.506,92.37343822,0,1.634138273
17/9/2010,10.03009027,92.29,158.13,101.877,50.57197357,0,-149.1097923
20/9/2010,60.14702606,141.09,107.88,-148.961,-90.23398808,346.3623764,-109.6330427
21/9/2010,51.29348796,80.56,123.17,368.348,-60.5187977,185.7641082,-162.100764
22/9/2010,53.59535507,279.58,71.72,79.433,-124.2419101,560.9703099,-59.92673247
23/9/2010,114.9425287,169.59,44.47,278.278,210.8951924,-322.0304327,-153.4052822
24/9/2010,71.44451887,333.56,16.03,0,-59.93870135,30.47702512,17.97549572
27/9/2010,98.31303765,96.47,0,-952.49,115.6199845,327.5535124,124.0099262
28/9/2010,18.98592808,-215.76,230.06,-59.5,24.00255533,-282.4887041,223.6569081
29/9/2010,44.76776721,0,-65.65,51.485,9.652537784,-151.297649,38.38985954
30/9/2010,83.0713965,-319.96,468.17,-93.239,41.73666618,223.8805497,-149.2383343
1/10/2010,86.3422292,502.83,423.92,-503.73,39.19963188,1877.49373,-148.3697173
4/10/2010,226.2544803,196.66,76.96,-126.833,41.53079764,606.4016574,124.6167656
5/10/2010,191.211003,-28.79,359.64,-95.891,-7.824095536,945.2237969,591.4101395
6/10/2010,20.17032721,322.78,84.33,62.996,41.78772352,614.2583678,43.73441068
7/10/2010,-82.93174941,128.29,261.65,-20.417,127.4182564,196.6447657,-824.5732712
8/10/2010,92.9139147,43.18,0,-94.828,56.00257615,519.0115966,1308.290247
12/10/2010,-31.32691877,-50,51.53,59.512,-463.5013308,398.1554677,-261.5796142
13/10/2010,3.362097949,-164.59,0,449.19,346.7157399,532.0178138,-486.8362753
14/10/2010,207.4456156,40.6,29.13,153.048,-30.92651245,268.6191662,12.97712678
15/10/2010,88.57495235,-154.72,93.27,-49.366,-80.06396961,1149.016107,444.365566
18/10/2010,128.7361469,-76.25,-13.2,-122.976,135.3909929,-292.8708791,394.7856027
19/10/2010,70.56451613,-99.78,-27.15,196.455,54.36045044,-285.7803653,21.39697242
20/10/2010,0,-137.76,0,-180.624,-0.684538965,-366.1023917,-185.6269437
21/10/2010,0,-40.99,0,-658.659,15.27274581,-1405.529108,-222.9061025
22/10/2010,-112.937493,-55.9,61.43,-151.348,-71.14564965,-20.43406216,-112.0625308
25/10/2010,74.09070498,87.71,0,-122.382,-115.602183,311.1563412,190.5393394
