Date,Indonesia.1,India,Thailand,South_Africa,Hungary,Mexico,Poland,USD_EM_Index
30/7/2010,36.87562856,-78,163.01,64.12,25.89548061,250.7147512,170.7608625,-0.252625591
2/8/2010,0,342.22,9.72,-29.831,-55.16747719,406.6951833,-77.60195975,-0.370516316
3/8/2010,256.1234761,-24.13,133,80.177,19.07205467,417.0807959,-65.22155768,-0.021922658
4/8/2010,0,25.74,21.54,199.717,148.9190608,296.9736853,-7.023046952,-0.061985813
5/8/2010,308.7939136,189.1,119.85,133.264,1.979295484,838.6798533,-35.21675919,-0.041310885
6/8/2010,-50.33557047,-12.05,102.26,-230.223,-8.768649313,118.1761777,1002.530887,0.135407125
9/8/2010,0,50.92,99.87,0,73.22021403,178.2245538,43.65516091,-0.101718411
10/8/2010,163.07383,-21.84,90.11,36.776,102.42484,-446.0358826,285.3331564,0.309979864
11/8/2010,0,64.45,46.11,-16.757,-137.4862228,194.3392668,-70.82022977,0.28352843
12/8/2010,-17.76790672,-129.32,0,69.411,149.2035543,70.23944104,12.59615385,0.078302809
13/8/2010,28.95967922,87.25,0,19.573,-100.887265,656.2825331,152.3292123,0.056156015
16/8/2010,-130.2895323,39.06,100.39,109.898,93.98368575,401.7460975,-117.6267912,-0.122991051
17/8/2010,0,160.37,16.75,280.158,-35.54656151,108.5688212,-17.89191662,-0.365875644
18/8/2010,33.44854499,0,86.18,-181.912,37.91970803,165.2753175,23.34954149,-0.044505087
19/8/2010,-1.115573405,11.89,89.01,-22.902,-50.02787795,-1247.941026,247.6067438,0.313682596
20/8/2010,-12.25899922,-31.55,52.36,171.924,0,-214.94643,251.8810932,0.123314681
23/8/2010,33.44481605,0,0,-44.798,67.03324137,356.4249156,314.5458555,0.26649114
24/8/2010,-36.74832962,41.18,82.13,548.204,-105.739695,-80.52475209,504.0042881,0.256415495
25/8/2010,4.456327986,-37.47,23.98,28.377,-127.1738466,212.5887528,208.6942756,0.26175177
26/8/2010,177.9359431,-57.47,34.31,294.966,60.94459896,-682.7404812,173.2309746,-0.227239435
27/8/2010,-23.29192547,-115.41,161.21,-6.705,52.36968014,37.3625024,921.0069165,0.040503712
30/8/2010,0,144.05,148.66,-16.755,-56.9688173,10.41801525,-80.78702237,0.287125872
31/8/2010,-88.44665561,-291.63,145.85,320.173,-1.580283431,-66.53920994,-76.78814552,0.146496257
1/9/2010,0,166.21,200.85,207.515,113.3692376,195.490331,7.304639608,-0.455500238
2/9/2010,0,176.52,374.76,82.789,-45.67130882,590.2470602,-129.8764471,-0.081856393
3/9/2010,-430.9195913,233.8,113.11,107.215,-14.11089055,292.1303301,567.4753626,-0.351296602
7/9/2010,36.58942233,84.57,118.91,527.327,-8.085541257,196.489748,-155.8479532,0.271819597
8/9/2010,282.1281795,59.83,268.18,107.866,43.0046971,311.0458329,-154.5527878,-0.201931323
9/9/2010,0,76.25,120.01,-40.542,33.88987527,-953.6343351,129.2937426,-0.151179489
10/9/2010,0,0,-227.74,129.654,7.899658181,157.1192002,528.315366,-0.202543847
13/9/2010,0,22.31,67.09,36.971,-8.964974046,117.7275833,-22.28155817,-0.330499731
14/9/2010,-5.568548836,64.68,75.71,236.194,53.62388479,124.6127702,131.6748377,-0.198784198
15/9/2010,-74.5272525,23.62,-44.03,71.478,265.5367369,-285.3831133,8.290976302,-0.002060942
16/9/2010,62.33997551,158.6,-15.85,-325.506,92.37343822,0,1.634138273,0.084978619
17/9/2010,10.03009027,92.29,158.13,101.877,50.57197357,0,-149.1097923,-0.173845612
20/9/2010,60.14702606,141.09,107.88,-148.961,-90.23398808,346.3623764,-109.6330427,-0.160304499
21/9/2010,51.29348796,80.56,123.17,368.348,-60.5187977,185.7641082,-162.100764,-0.041640685
22/9/2010,53.59535507,279.58,71.72,79.433,-124.2419101,560.9703099,-59.92673247,-0.29280052
23/9/2010,114.9425287,169.59,44.47,278.278,210.8951924,-322.0304327,-153.4052822,-0.083992838
24/9/2010,71.44451887,333.56,16.03,0,-59.93870135,30.47702512,17.97549572,-0.308058433
27/9/2010,98.31303765,96.47,0,-952.49,115.6199845,327.5535124,124.0099262,-0.232320085
28/9/2010,18.98592808,-215.76,230.06,-59.5,24.00255533,-282.4887041,223.6569081,-0.033694744
29/9/2010,44.76776721,0,-65.65,51.485,9.652537784,-151.297649,38.38985954,-0.185053924
30/9/2010,83.0713965,-319.96,468.17,-93.239,41.73666618,223.8805497,-149.2383343,0.218748668
1/10/2010,86.3422292,502.83,423.92,-503.73,39.19963188,1877.49373,-148.3697173,-0.296234614
4/10/2010,226.2544803,196.66,76.96,-126.833,41.53079764,606.4016574,124.6167656,0.12587113
5/10/2010,191.211003,-28.79,359.64,-95.891,-7.824095536,945.2237969,591.4101395,-0.249596601
6/10/2010,20.17032721,322.78,84.33,62.996,41.78772352,614.2583678,43.73441068,-0.285718076
7/10/2010,-82.93174941,128.29,261.65,-20.417,127.4182564,196.6447657,-824.5732712,0.10834169
8/10/2010,92.9139147,43.18,0,-94.828,56.00257615,519.0115966,1308.290247,-0.147003569
12/10/2010,-31.32691877,-50,51.53,59.512,-463.5013308,398.1554677,-261.5796142,0.033619873
13/10/2010,3.362097949,-164.59,0,449.19,346.7157399,532.0178138,-486.8362753,-0.36390502
14/10/2010,207.4456156,40.6,29.13,153.048,-30.92651245,268.6191662,12.97712678,-0.108015977
15/10/2010,88.57495235,-154.72,93.27,-49.366,-80.06396961,1149.016107,444.365566,-0.058909417
18/10/2010,128.7361469,-76.25,-13.2,-122.976,135.3909929,-292.8708791,394.7856027,0.164184244
19/10/2010,70.56451613,-99.78,-27.15,196.455,54.36045044,-285.7803653,21.39697242,0.345845207
20/10/2010,0,-137.76,0,-180.624,-0.684538965,-366.1023917,-185.6269437,-0.158565624
21/10/2010,0,-40.99,0,-658.659,15.27274581,-1405.529108,-222.9061025,0.001052325
22/10/2010,-112.937493,-55.9,61.43,-151.348,-71.14564965,-20.43406216,-112.0625308,0.122309895
25/10/2010,74.09070498,87.71,0,-122.382,-115.602183,311.1563412,190.5393394,-0.331940989
26/10/2010,-17.95130708,146.47,145.08,114.925,48.71028275,117.043472,-64.40904926,0.270857325
27/10/2010,-1.118568233,-167.21,0,-11.885,169.2451241,463.5172917,-191.6475495,0.419368792
28/10/2010,116.3701466,-680.6,6.41,-94.51,78.19659279,191.3985605,-17.35137409,-0.196347045
29/10/2010,-26.85164466,-381.19,98.94,986.145,11.74134883,-107.5199159,-406.2695484,-0.263519438
1/11/2010,69.48335762,288.88,0,-868.319,0,285.9978137,-0.45160161,-0.010626786
2/11/2010,21.28851541,146.47,90.37,194.307,52.20106284,0,126.0029876,-0.238716146
3/11/2010,22.42655304,343.5,113.53,-20.832,-64.76195641,92.35313316,-84.53086598,-0.034179018
4/11/2010,6.733251038,490.2,237.08,-89.428,-16.20389978,-185.4538763,131.9127236,-0.425789243
5/11/2010,-17.99167885,0,29,203.889,42.89760775,521.6078343,-417.7310563,-0.065080017
8/11/2010,0,113.83,246.03,124.323,24.15923373,184.1808325,-235.185644,0.384142904
9/11/2010,0,12.12,-5.02,121.986,40.67066383,973.2251405,500.4058012,-0.255507669
10/11/2010,314.9606299,-38.04,48.42,-138.939,160.9502598,-325.1800973,405.7238938,0.075895547
12/11/2010,-23.52150538,-234.72,0,331.945,37.09888373,561.4296025,-431.6927562,0.346565878
15/11/2010,0,7.4,0,-19.573,-58.86882982,0,584.2358396,0.208458824
16/11/2010,-65.93652213,111.83,0,9.904,151.0879575,26.0277608,268.6535192,0.388893667
17/11/2010,0,0,36.09,-264.207,75.28710023,157.9606035,-380.9398316,-0.088504954
18/11/2010,-240.411495,8.71,112.55,135.792,-62.54910227,-368.3225137,-308.7862916,-0.403563125
19/11/2010,54.85279301,-5.84,0,-469.199,114.248602,400.2590441,769.3379186,0.07928532
