,period,variable,value
190,2011-05-24,Short Term,10.65904233
191,2011-05-25,Short Term,10.906292
192,2011-05-26,Short Term,9.449225531
193,2011-05-27,Short Term,9.221826969
194,2011-05-31,Short Term,9.911379436
195,2011-06-01,Short Term,9.872645305
196,2011-06-02,Short Term,10.48467566
197,2011-06-03,Short Term,10.33743363
198,2011-06-06,Short Term,10.26994221
199,2011-06-07,Short Term,10.69065245
200,2011-06-08,Short Term,9.899018189
201,2011-06-09,Short Term,10.25620247
202,2011-06-10,Short Term,9.952556563
203,2011-06-13,Short Term,11.81315323
204,2011-06-14,Short Term,9.505719294
205,2011-06-15,Short Term,9.504110487
206,2011-06-16,Short Term,9.728145093
207,2011-06-17,Short Term,8.994451925
208,2011-06-20,Short Term,9.337242355
209,2011-06-21,Short Term,9.483657654
210,2011-06-22,Short Term,9.737326627
211,2011-06-23,Short Term,10.20767945
212,2011-06-24,Short Term,10.93741685
213,2011-06-27,Short Term,10.62582181
214,2011-06-28,Short Term,10.49206483
215,2011-06-29,Short Term,10.4080907
216,2011-06-30,Short Term,10.45201948
217,2011-07-01,Short Term,9.672024914
218,2011-07-05,Short Term,8.95271312
219,2011-07-06,Short Term,9.25805147
220,2011-07-07,Short Term,8.895089408
221,2011-07-08,Short Term,8.590873671
222,2011-07-11,Short Term,8.669282309
223,2011-07-12,Short Term,8.615279482
224,2011-07-13,Short Term,8.740230308
225,2011-07-14,Short Term,8.989504029
226,2011-07-15,Short Term,8.868089797
227,2011-07-18,Short Term,9.092608999
228,2011-07-19,Short Term,9.421724367
229,2011-07-20,Short Term,9.731545017
230,2011-07-21,Short Term,10.46259657
231,2011-07-22,Short Term,9.817935101
232,2011-07-25,Short Term,9.800996919
233,2011-07-26,Short Term,9.992765057
234,2011-07-27,Short Term,9.25905699
235,2011-07-28,Short Term,9.680146435
236,2011-07-29,Short Term,9.676399519
237,2011-08-01,Short Term,9.597215658
238,2011-08-02,Short Term,9.914768053
239,2011-08-03,Short Term,9.55799653
240,2011-08-04,Short Term,9.350822149
241,2011-08-05,Short Term,9.593353368
242,2011-08-08,Short Term,9.485982618
243,2011-08-09,Short Term,9.277839784
244,2011-08-10,Short Term,9.466838876
245,2011-08-11,Short Term,8.880633131
246,2011-08-12,Short Term,9.442237765
247,2011-08-15,Short Term,9.408625583
248,2011-08-16,Short Term,9.685005678
249,2011-08-17,Short Term,9.741603765
250,2011-08-18,Short Term,9.822920017
251,2011-08-19,Short Term,9.662378106
252,2011-08-22,Short Term,9.928657386
253,2011-08-23,Short Term,9.867615176
254,2011-08-24,Short Term,10.25582008
255,2011-08-25,Short Term,9.951884366
256,2011-08-26,Short Term,10.59159019
257,2011-08-29,Short Term,10.71698759
258,2011-08-30,Short Term,10.57771408
259,2011-08-31,Short Term,10.5813347
260,2011-09-01,Short Term,10.26586341
261,2011-09-02,Short Term,9.930376938
262,2011-09-06,Short Term,10.04794766
263,2011-09-07,Short Term,9.780139918
264,2011-09-08,Short Term,10.22010917
265,2011-09-09,Short Term,10.28001292
266,2011-09-12,Short Term,9.887578746
267,2011-09-13,Short Term,10.14823687
268,2011-09-14,Short Term,10.28500165
269,2011-09-15,Short Term,9.287533322
270,2011-09-16,Short Term,8.652408274
271,2011-09-19,Short Term,8.578015864
272,2011-09-20,Short Term,8.546768539
273,2011-09-21,Short Term,8.552314767
274,2011-09-22,Short Term,8.985827438
275,2011-09-23,Short Term,8.951837935
276,2011-09-26,Short Term,8.871501387
277,2011-09-27,Short Term,8.827798409
278,2011-09-28,Short Term,9.010494931
279,2011-09-29,Short Term,8.99487397
280,2011-09-30,Short Term,9.056045497
281,2011-10-03,Short Term,8.800592115
282,2011-10-04,Short Term,8.714622245
283,2011-10-05,Short Term,8.823362004
284,2011-10-06,Short Term,8.847418256
285,2011-10-07,Short Term,8.861634753
286,2011-10-11,Short Term,9.866120148
287,2011-10-12,Short Term,9.316678284
288,2011-10-13,Short Term,9.22902945
289,2011-10-14,Short Term,9.830165975
290,2011-10-17,Short Term,9.982572191
291,2011-10-18,Short Term,10.15718179
292,2011-10-19,Short Term,10.21556127
293,2011-10-20,Short Term,10.1041047
294,2011-10-21,Short Term,10.21091491
295,2011-10-24,Short Term,10.40400754
296,2011-10-25,Short Term,10.25152196
297,2011-10-26,Short Term,10.46229918
